n,phase,prover,n_reps,ok,wall_s_mean,wall_s_min,wall_s_max,wall_s_stdev,cpu_total_s_mean,cpu_total_s_min,cpu_total_s_max,cpu_total_s_stdev,cpu_user_s_mean,cpu_user_s_min,cpu_user_s_max,cpu_user_s_stdev,cpu_sys_s_mean,cpu_sys_s_min,cpu_sys_s_max,cpu_sys_s_stdev,rss_peak_bytes_mean,rss_peak_bytes_min,rss_peak_bytes_max,rss_peak_bytes_stdev,io_read_bytes_mean,io_read_bytes_min,io_read_bytes_max,io_read_bytes_stdev,io_write_bytes_mean,io_write_bytes_min,io_write_bytes_max,io_write_bytes_stdev,io_rchar_bytes_mean,io_rchar_bytes_min,io_rchar_bytes_max,io_rchar_bytes_stdev,io_wchar_bytes_mean,io_wchar_bytes_min,io_wchar_bytes_max,io_wchar_bytes_stdev,sys_cpu_iowait_s_mean,sys_cpu_iowait_s_min,sys_cpu_iowait_s_max,sys_cpu_iowait_s_stdev,cpu_pct_of_core
4,env,,1,True,63.513172510000004,63.513172510000004,63.513172510000004,0.0,75.77843800000001,75.77843800000001,75.77843800000001,0.0,64.148725,64.148725,64.148725,0.0,11.629712999999999,11.629712999999999,11.629712999999999,0.0,326459392.0,326459392.0,326459392.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110489500.0,110489500.0,110489500.0,0.0,6396227.0,6396227.0,6396227.0,0.0,0.00999999999999801,0.00999999999999801,0.00999999999999801,0.0,119.31137275195766
4,prove,rapidsnark,2,True,2.278566393500114,2.2423532150005485,2.3147795719996793,0.0362131784995654,0.5815605000009576,0.5219219999980496,0.6411990000038656,0.059638500002908046,0.17326100000001077,0.15852000000001,0.18800200000001155,0.014741000000000781,0.218239999999998,0.21527399999999375,0.22120600000000223,0.002966000000004243,68071424.0,67555328.0,68587520.0,516096.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3093139.0,3062776.0,3123502.0,30363.0,1248.0,1156.0,1340.0,92.0,0.010000000000001563,0.00999999999999801,0.010000000000005116,3.552713678800501e-15,25.523087747626285
4,prove,snarkjs,2,True,3.0585538820000693,3.0476489789998595,3.069458785000279,0.010904903000209742,1.6531175000000005,1.6108459999999951,1.6953890000000058,0.042271500000005346,1.1527375000000006,1.143133000000006,1.1623419999999953,0.009604499999994687,0.5003799999999998,0.4485039999999998,0.5522559999999999,0.05187600000000003,245678080.0,245608448.0,245747712.0,69632.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4785172.0,4774645.0,4795699.0,10527.0,10755.0,10108.0,11402.0,647.0,0.0,0.0,0.0,0.0,54.04899059417529
4,verify,rapidsnark,2,True,2.413884733500254,2.409008931000244,2.4187605360002635,0.0048758025000097405,1.4530740000000009,1.4468700000000183,1.4592779999999834,0.006203999999982557,0.979359500000001,0.9389259999999808,1.0197930000000213,0.04043350000002022,0.4737144999999998,0.42707699999999704,0.5203520000000026,0.046637500000002774,198170624.0,194572288.0,201768960.0,3598336.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4116269.0,4111802.0,4120736.0,4467.0,732.0,636.0,828.0,96.0,0.0,0.0,0.0,0.0,60.196494879561655
4,verify,snarkjs,2,True,2.383957086000464,2.3684171740005695,2.399496998000359,0.015539911999894684,1.424023499999997,1.413659999999993,1.434387000000001,0.010363500000003967,0.999652999999995,0.967456999999996,1.031848999999994,0.032195999999999,0.424370500000002,0.381810999999999,0.46693000000000495,0.04255950000000297,211077120.0,207138816.0,215015424.0,3938304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4199649.5,4174217.0,4225082.0,25432.5,2528.0,892.0,4164.0,1636.0,0.0,0.0,0.0,0.0,59.73360461739955
8,env,,1,True,68.66645588599931,68.66645588599931,68.66645588599931,0.0,122.25166999999996,122.25166999999996,122.25166999999996,0.0,110.95085599999999,110.95085599999999,110.95085599999999,0.0,11.300814000000003,11.300814000000003,11.300814000000003,0.0,385490944.0,385490944.0,385490944.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119775131.0,119775131.0,119775131.0,0.0,11592970.0,11592970.0,11592970.0,0.0,0.0,0.0,0.0,0.0,178.0369591274134
8,prove,rapidsnark,2,True,2.2138039925002886,2.1842660909996994,2.243341894000878,0.029537901500589214,0.5809815000078657,0.5696060000109355,0.592357000004796,0.011375499996930216,0.17699150000001396,0.1707810000000336,0.1832019999999943,0.006210499999980357,0.20701750000000274,0.2059810000000013,0.20805400000000418,0.001036500000001439,67231744.0,67039232.0,67424256.0,192512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3068776.0,3062662.0,3074890.0,6114.0,1144.0,1140.0,1148.0,4.0,0.019999999999999574,0.01999999999999602,0.020000000000003126,3.552713678800501e-15,26.24358353205879
8,prove,snarkjs,2,True,3.114978981999684,3.0983453899998494,3.1316125739995186,0.016633591999834607,1.7641629999999928,1.7544529999999696,1.773873000000016,0.0097100000000232,1.1199029999999937,1.0911739999999668,1.1486320000000205,0.028729000000026872,0.6442599999999992,0.6252409999999955,0.6632790000000028,0.019019000000003672,284276736.0,283578368.0,284975104.0,698368.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5062869.0,5055281.0,5070457.0,7588.0,9992.0,9988.0,9996.0,4.0,0.0,0.0,0.0,0.0,56.63482836303041
8,verify,rapidsnark,2,True,2.327485024999987,2.3154671829997824,2.339502867000192,0.012017842000204837,1.3953469999999797,1.3709799999999603,1.419713999999999,0.024367000000019345,0.9631404999999802,0.9502359999999612,0.9760449999999992,0.01290450000001897,0.4322064999999995,0.4207439999999991,0.44366899999999987,0.011462500000000375,161720320.0,143130624.0,180310016.0,18589696.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4166635.0,4106742.0,4226528.0,59893.0,3232.0,476.0,5988.0,2756.0,0.004999999999999005,0.0,0.00999999999999801,0.004999999999999005,59.95084758923368
8,verify,snarkjs,2,True,2.323882320999928,2.3155538920000254,2.332210749999831,0.008328428999902826,1.3078405000000046,1.2938179999999804,1.3218630000000289,0.014022500000024252,0.8913430000000062,0.8671939999999836,0.9154920000000288,0.024149000000022625,0.4164974999999984,0.40637100000000004,0.4266239999999968,0.010126499999998373,164743168.0,149135360.0,180350976.0,15607808.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4205889.0,4174507.0,4237271.0,31382.0,3432.0,708.0,6156.0,2724.0,0.0,0.0,0.0,0.0,56.27825850653498
