size,phase,step,group,rep,prover,cmd,ok,returncode,scope,wall_s,cpu_user_s,cpu_sys_s,cpu_total_s,cpu_pct_of_core,cpu_pct_of_machine,rss_peak_bytes,rss_mean_bytes,io_read_bytes,io_write_bytes,io_rchar_bytes,io_wchar_bytes,io_read_mb_per_s,io_write_mb_per_s,sys_cpu_busy_s,sys_cpu_iowait_s,sys_mem_used_peak_bytes,sys_mem_used_delta_bytes,sys_read_bytes,sys_write_bytes,n_samples,samples_file,log_file
16,env,zkey_bellman_contribute,zkey,1,,"snarkjs zkey bellman contribute bn128 challenge_phase2_0003 response_phase2_0003 -e=""some random text""",True,0,process,2.5246813210000028,2.8859709999999836,0.41639400000001103,3.3023649999999947,130.80324128559556,8.175202580349723,222519296.0,79080618.66666667,0.0,0.0,4639532.0,266560.0,0.0,0.0,4.139999999999418,0.0,1171046400.0,1495040.0,0.0,0.0,26,raw/samples/n16_zkey_bellman_contribute_r1.csv,logs/n16_zkey_bellman_contribute_r1.log
16,env,zkey_import_bellman,zkey,1,,"snarkjs zkey import bellman circuit_0002.zkey response_phase2_0003 circuit_0003.zkey -n=""Third contribution""",True,0,process,3.2091067360000807,9.878538000000049,0.42791799999999114,10.30645600000004,321.1627673327654,20.072672958297836,229806080.0,112070788.12903225,0.0,0.0,4846757.0,323892.0,0.0,0.0,11.220000000001164,0.0,1185898496.0,4878336.0,0.0,0.0,33,raw/samples/n16_zkey_import_bellman_r1.csv,logs/n16_zkey_import_bellman_r1.log
16,env,zkey_verify,zkey,1,,snarkjs zkey verify circuit.r1cs pot12_final.ptau circuit_0003.zkey,True,0,process,3.334471313999984,2.3404519999999707,0.6259640000000104,2.966415999999981,88.962108852018,5.560131803251125,295190528.0,127422464.0,0.0,0.0,10537985.0,6761.0,0.0,0.0,3.5599999999994907,0.0,1250582528.0,18722816.0,0.0,0.0,35,raw/samples/n16_zkey_verify_r1.csv,logs/n16_zkey_verify_r1.log
16,env,zkey_beacon,zkey,1,,"snarkjs zkey beacon circuit_0003.zkey circuit_final.zkey 0102030405060708090a0b0c0d0e0f101112131515161718191a1b1c1d1e1f 10 -n=""Final Beacon phase2""",True,0,process,2.5673883680000245,3.119603999999981,0.4460149999999885,3.5656189999999697,138.88116984722336,8.68007311545146,220073984.0,83475333.12,0.0,0.0,5698857.0,1411684.0,0.0,0.0,4.25,0.0,1166626816.0,5591040.0,0.0,0.0,27,raw/samples/n16_zkey_beacon_r1.csv,logs/n16_zkey_beacon_r1.log
16,env,zkey_verify_final,zkey,1,,snarkjs zkey verify circuit.r1cs pot12_final.ptau circuit_final.zkey,True,0,process,3.3814999960000023,2.3414730000000077,0.6180860000000052,2.959559000000013,87.52207610530516,5.4701297565815725,355835904.0,133498817.93939394,0.0,0.0,11374264.0,11613.0,0.0,0.0,3.789999999999054,0.0,1311907840.0,-2654208.0,0.0,0.0,35,raw/samples/n16_zkey_verify_final_r1.csv,logs/n16_zkey_verify_final_r1.log
16,env,zkey_export_vkey,zkey,1,,snarkjs zkey export verificationkey circuit_final.zkey verification_key.json,True,0,process,3.0676614669999935,0.8546750000000429,0.4476240000000047,1.3022990000000476,42.4525005125036,2.653281282031475,216993792.0,105818112.0,0.0,0.0,4504787.0,2046.0,0.0,0.0,1.9600000000009459,0.0,1172680704.0,22962176.0,0.0,0.0,32,raw/samples/n16_zkey_export_vkey_r1.csv,logs/n16_zkey_export_vkey_r1.log
16,env,zkey_export_verifier,zkey,1,,snarkjs zkey export solidityverifier circuit_final.zkey verifier.sol,True,0,process,2.3654563970000027,0.8635339999999587,0.3997719999999987,1.2633059999999574,53.406437827480104,3.3379023642175065,209457152.0,71219110.95652173,0.0,0.0,4360985.0,1776.0,0.0,0.0,1.859999999998763,0.0,1162280960.0,4460544.0,0.0,0.0,25,raw/samples/n16_zkey_export_verifier_r1.csv,logs/n16_zkey_export_verifier_r1.log
16,prove,fullprove_snarkjs,prove,1,snarkjs,snarkjs groth16 fullprove input.json circuit_js/circuit.wasm circuit_final.zkey proof.json public.json,True,0,process,3.207405777999952,1.2937780000000316,0.653183999999996,1.9469620000000276,60.702079336344475,3.7938799585215297,347553792.0,140452368.51612905,0.0,0.0,5834005.0,9988.0,0.0,0.0,3.1200000000008004,0.0,1305214976.0,-6287360.0,0.0,0.0,33,raw/samples/n16_fullprove_snarkjs_r1.csv,logs/n16_fullprove_snarkjs_r1.log
16,prove,fullprove_snarkjs,prove,2,snarkjs,snarkjs groth16 fullprove input.json circuit_js/circuit.wasm circuit_final.zkey proof.json public.json,True,0,process,3.176528157000007,1.2194719999999393,0.6926799999999957,1.912151999999935,60.19628681037159,3.7622679256482243,343752704.0,140452632.77419356,0.0,0.0,5793834.0,10784.0,0.0,0.0,2.9200000000000728,0.0,1298726912.0,23056384.0,0.0,0.0,33,raw/samples/n16_fullprove_snarkjs_r2.csv,logs/n16_fullprove_snarkjs_r2.log
16,prove,fullprove_snarkjs,prove,3,snarkjs,snarkjs groth16 fullprove input.json circuit_js/circuit.wasm circuit_final.zkey proof.json public.json,True,0,process,3.1661117830000194,1.199083000000087,0.6595080000000024,1.8585910000000894,58.702633620819256,3.6689146013012035,343453696.0,140285885.93548387,0.0,0.0,5846883.0,12044.0,0.0,0.0,2.7700000000004366,0.0,1297719296.0,28348416.0,0.0,0.0,33,raw/samples/n16_fullprove_snarkjs_r3.csv,logs/n16_fullprove_snarkjs_r3.log
